Address,City,State,Zip_code,LAT,LON
1761 Palmer Wasilla Highway,Wasilla,AK,99654,61.57818853,-149.407445
7285 U.S. Highway 431,Albertville,AL,35950,34.27631481,-86.20596854
955 Airport Drive,Alexander City,AL,35010,32.9207341,-85.95268935
2000 Quintard Avenue,Anniston,AL,36201,33.67071917,-85.82687522
710 Brindlee Mountain Parkway,Arab,AL,35016,34.32717738,-86.5029009
"205 U.S. Highway 72, W",Athens,AL,35611,34.78981876,-86.97207039
1225 South Main Street,Atmore,AL,36502,31.00609969,-87.49367523
500 Cherry Street,Attalla,AL,35954,34.01843664,-86.07722894
1580 Opelika Road,Auburn,AL,36830,32.62465756,-85.44643405
"1818 Ninth Avenue, North",Bessemer,AL,35020,33.40682357,-86.96118651
1217 Carraway Boulevard,Birmingham,AL,35234,33.53166436,-86.80632551
1653 Center Point Road,Birmingham,AL,35215,33.63105278,-86.68480163
1674 Gadsden Highway,Birmingham,AL,35235,33.60194011,-86.6386053
1800 20th Street Ensley,Birmingham,AL,35218,33.50944573,-86.88546095
1928 Bessemer Road,Birmingham,AL,35208,33.49210988,-86.88324525
7909 Crestwood Boulevard,Birmingham,AL,35210,33.530811,-86.71397992
828 Green Springs Highway,Birmingham,AL,35209,33.45931097,-86.81707054
1254 U.S. 431,Boaz,AL,35957,34.20419991,-86.15245169
1925 West Main Street,Centre,AL,35960,34.16076973,-85.71386918
104 Highway 280 B,Childersburg,AL,35044,33.28342732,-86.36186682
"2035 Seventh Street, South",Clanton,AL,35045,32.80317265,-86.58780077
"1620 Second Avenue, Southwest",Cullman,AL,35055,34.16100345,-86.83520262
5799 Alabama Highway 157,Cullman,AL,35058,34.20665126,-86.87160844
2208 Beltline Road,Decatur,AL,35601,34.58442471,-87.02384025
105 Highway 80 East,Demopolis,AL,36732,32.50366904,-87.83716497
109 N.E. Ross Clark Circle,Dothan,AL,36303,31.25280005,-85.38714782
1801 S.E. Ross Clark Circle,Dothan,AL,36301,31.19251072,-85.37962518
4468-2 West Main Street,Dothan,AL,36305,31.23771154,-85.46029778
612 Boll Weevil Circle,Enterprise,AL,36330,31.31781486,-85.83080865
840 Liberty Hill Drive,Evergreen,AL,36401,31.45442614,-86.96242483
7159 Aaron Aronov Drive,Fairfield,AL,35064,33.46671534,-86.91581149
1302 North Pine Street,Florence,AL,35630,34.81852785,-87.68704414
241 Cox Creek Parkway,Florence,AL,35630,34.83368141,-87.62967508
2460 South McKenzie Street,Foley,AL,36535,30.37960382,-87.68360944
1229 Forestdale Boulevard,Forestdale,AL,35214,33.56042996,-86.89200447
308 Greenhill Boulevard N.W,Fort Payne,AL,35967,34.469054,-85.70190006
579 E. Meighan Boulevard,Gadsden,AL,35903,34.00815875,-85.98401612
531 Fieldstown Road,Gardendale,AL,35071,33.65212536,-86.8208103
108 Greenville By-Pass,Greenville,AL,36037,31.84846531,-86.63967864
1501 South Gunter,Guntersville,AL,35976,34.34433561,-86.30523821
"1301 Highway 31, North",Hartselle,AL,35640,34.45511169,-86.94711917
5692 Highway 278 East,Hokes Bluff,AL,35903,33.98561172,-85.8663718
3065 Allison Bonnett Memorial Drive,Hueytown,AL,35023,33.45027108,-86.98445673
1003 Jordan Lane,Huntsville,AL,35816,34.73613943,-86.6274285
"1690 Highway 72, E",Huntsville,AL,35811,34.77320701,-86.53272054
2404 Memorial Parkway,Huntsville,AL,35801,34.71250278,-86.59105
4106 North College Ave,Jackson,AL,36545,31.55651,-87.87664
"1815 Ashville Road, NE, Highway 411",Leeds,AL,35094,33.56207407,-86.52242067
75835 Highway 77,Lincoln,AL,35096,33.59517067,-86.12154394
7874 Highway 72 West,Madison,AL,35758,34.75335879,-86.74467515
8966 Madison Boulevard,Madison,AL,35758,34.6761037,-86.7535351
"21363 Highway 11, North",McCalla,AL,35111,33.24633176,-87.13690471
12276 U.S. Highway 231,Meridianville,AL,35759,34.87005539,-86.57066175
3226 Alabama Highway 14,Millbrook,AL,36054,32.50965396,-86.38145239
2351 St. Stephens,Mobile,AL,36617,30.71950808,-88.08454376
2850 Springhill Ave,Mobile,AL,36607,30.69878754,-88.10854189
5109 Moffat Rd,Mobile,AL,36618,30.7204026,-88.15999502
"5437 Highway 90, W",Mobile,AL,36619,30.58716067,-88.16958859
775 Schillinger Road South,Mobile,AL,36695,30.67389263,-88.22450739
950 Main Street,Montevallo,AL,35115,33.10200441,-86.86041089
1955 Coliseum Boulevard,Montgomery,AL,36110,32.41859253,-86.26882025
2528 Eastern Boulevard,Montgomery,AL,36117,32.34768671,-86.22256694
2687 Zelda Road,Montgomery,AL,36107,32.36417641,-86.26734083
6808 Atlanta Highway,Montgomery,AL,36117,32.38227733,-86.17904124
917 W. South Boulevard,Montgomery,AL,36105,32.32612999,-86.32661557
11884 Highway 157,Moulton,AL,35650,34.48777844,-87.27621212
1910 Woodward Avenue,Muscle Shoals,AL,35661,34.74366914,-87.66782751
1901 32nd Street,Northport,AL,35476,33.23794305,-87.57687883
910 East Second Avenue,Oneonta,AL,35121,33.95416991,-86.46665995
"101 Sixth Street, North",Opelika,AL,36801,32.65089124,-85.37783312
2024 U. S. Highway 78 East,Oxford,AL,36203,33.61467376,-85.78824033
630 Cahaba Valley Road,Pelham,AL,35124,33.33532272,-86.78239472
703 23rd St N,Pell City,AL,35125,33.59562024,-86.28329667
1802 Stadium Drive,Phenix City,AL,36867,32.49742828,-85.01776655
601 13th Street,Phenix City,AL,36867,32.47079633,-85.00137521
206 Highway 278 Bypass East,Piedmont,AL,36272,33.93375061,-85.61016
1913 Cobbs Ford Road,Prattville,AL,36066,32.46045393,-86.41674297
15045 Hwy 43,Russellville,AL,35653,34.50965958,-87.71764588
815 Highway 43 S,Saraland,AL,36571,30.80337771,-88.07202814
23115 John T. Reid Parkway,Scottsboro,AL,35768,34.65017436,-86.0289047
1326 Highland Avenue,Selma,AL,36701,32.43124617,-87.01698049
1560 Highway 77,Southside,AL,35907,33.93118322,-86.02432731
39 Springville Station,Springville,AL,35146,33.77873576,-86.4302037
1204 Talladega Highway,Sylacauga,AL,35150,33.18453076,-86.24576169
219 Haynes Street,Talladega,AL,35160,33.43720266,-86.08220738
"32475 Highway 43, SW",Thomasville,AL,36784,31.91392534,-87.74116281
101 Highway 231 North,Troy,AL,36081,31.79241297,-85.97727534
"1101 Lurleen Wallace Boulevard, South",Tuscaloosa,AL,35401,33.20333342,-87.56861888
1111 Skyland Boulevard,Tuscaloosa,AL,35405,33.16809467,-87.52178155
3006 20th Avenue,Valley,AL,36854,32.84300909,-85.18009936
5278 U. S. Highway 231,Wetumpka,AL,36092,32.51761384,-86.21124895
"469 Highway 71, N",Alma,AR,72921,35.49121667,-94.22614873
921 Clinton St,Arkadelphia,AR,71923,34.12034645,-93.05732508
1311 St. Louis Street,Batesville,AR,72501,35.76616528,-91.64106697
522 N. East Street,Benton,AR,72015,34.56845987,-92.58545613
1618 E Centerton Blvd,Bentonville,AR,72712,36.35790005,-94.25760222
