fips,county,state,state_code,lat,long,obesity.rate,smoking,healthy_food,Completed_High_School,Population,Unemployed,Labor.Force,X80th_Percentile_Income,X20th_Percentile_Income,Drive_Alone_to_Work,Diabetes_prevalence
1091,Marengo,Alabama,AL,32.247591,-87.791091,45,23.13744226,5.7,10974,13092,271,7694,78723,11304,88.00547279,18
1093,Marion,Alabama,AL,34.138219,-87.881551,38,24.17075475,7,16927,21272,446,12932,75279,14965,86.18032366,19
1095,Marshall,Alabama,AL,34.309564,-86.321668,37,22.98773657,7.2,52194,63955,1086,44085,90703,19723,86.69212312,12
1097,Mobile,Alabama,AL,30.684572,-88.196568,38,20.78627817,6.6,241102,278838,7024,189107,96724,18242,85.92950557,15
1099,Monroe,Alabama,AL,31.580332,-87.383266,43,25.51109351,5.4,12605,14718,356,7329,77535,9399,90.30026725,23
1101,Montgomery,Alabama,AL,32.202881,-86.204461,37,19.86332623,6,130592,150570,3260,105777,101999,19303,84.76831778,16
1103,Morgan,Alabama,AL,34.454484,-86.846402,36,20.8010496,7.5,69341,82478,1500,58271,99800,22134,88.46897522,12
1105,Perry,Alabama,AL,32.639005,-87.293827,47,27.26065257,5.1,4873,5883,178,3413,52500,10157,85.3411306,21
1107,Pickens,Alabama,AL,33.2968,-88.096864,39,23.63462545,6.8,11815,14495,276,7923,84022,14460,82.2753262,19
1109,Pike,Alabama,AL,31.798653,-85.941608,38,21.48422776,6.5,16397,19298,504,15428,87322,13139,85.45323741,14
1111,Randolph,Alabama,AL,33.296461,-85.464064,34,23.09714872,7.1,12563,15776,292,9639,80698,16752,88.06831295,18
1113,Russell,Alabama,AL,32.289811,-85.18698,39,22.30623418,6.7,32623,38920,698,23896,85683,15543,86.54810948,17
1115,St. Clair,Alabama,AL,33.719491,-86.311327,37,21.46688268,7.9,51936,61424,1091,40532,104081,25243,86.98794545,14
1117,Shelby,Alabama,AL,33.263043,-86.678089,38,14.97384603,8.3,134769,145427,2525,115939,139637,35194,86.21962997,11
1119,Sumter,Alabama,AL,32.597481,-88.200057,43,23.10577091,5.4,7012,8088,219,4854,65415,8878,84.43570199,18
1121,Talladega,Alabama,AL,33.369314,-86.17593,39,24.00494447,6.8,44979,55993,1213,35769,88559,17027,83.46200598,17
1123,Tallapoosa,Alabama,AL,32.863308,-85.799618,35,23.91970664,7,23121,28667,556,18652,90134,16645,86.01567209,14
1125,Tuscaloosa,Alabama,AL,33.29022,-87.522783,36,19.97069718,7.3,114020,129056,2842,104964,107117,20754,85.61288295,12
1127,Walker,Alabama,AL,33.791558,-87.301094,39,24.71889554,6.8,36641,44782,830,25347,90416,18037,84.50921525,15
1129,Washington,Alabama,AL,31.408503,-88.212404,32,24.31549262,6.7,9375,11346,313,6800,89840,15875,86.52443472,13
1131,Wilcox,Alabama,AL,31.990082,-87.304935,50,25.81292603,3.2,5439,7114,195,2739,62333,11513,89.24694708,19
1133,Winston,Alabama,AL,34.154566,-87.365346,36,24.98734517,7.2,13521,17156,336,10041,79242,16612,79.83069977,22
4001,Apache,Arizona,AZ,35.385084,-109.490172,35,25.03110256,2.2,36140,44949,2019,20487,72423,9376,78.59303669,16
4003,Cochise,Arizona,AZ,31.840129,-109.775163,31,17.34521814,6.7,76582,87639,2899,50594,96469,20919,78.8898686,10
4005,Coconino,Arizona,AZ,35.829692,-111.773728,25,17.12276281,6.8,75204,83080,4301,77507,112048,22585,68.86349381,8
4007,Gila,Arizona,AZ,33.789618,-110.81187,31,22.85761129,5.9,33952,39330,1192,21677,89664,19263,80.25355359,14
4009,Graham,Arizona,AZ,32.931828,-109.87831,34,20.0464738,6.2,20211,23706,743,15351,92512,18509,78.56475716,12
4011,Greenlee,Arizona,AZ,33.238872,-109.242323,30,16.88298339,5.8,5155,5854,178,4520,104612,32369,87.22960646,12
4012,La Paz,Arizona,AZ,33.72761,-114.038806,33,21.53487857,5.7,12351,16053,545,9334,74261,14448,74.66600693,18
4013,Maricopa,Arizona,AZ,33.345176,-112.49893,27,15.40931998,8,2525465,2878815,92847,2310503,126956,28813,75.97304538,9
4015,Mohave,Arizona,AZ,35.717705,-113.749689,31,24.62745264,5.7,136323,158391,4977,87792,85513,20682,79.0660135,14
4017,Navajo,Arizona,AZ,35.390785,-110.321025,33,23.45760045,4.6,58805,70525,3006,40979,84804,14902,72.93139167,15
4019,Pima,Arizona,AZ,32.128038,-111.783657,25,16.97885869,7.5,607912,687804,22075,498695,105843,22336,76.84481305,9
4021,Pinal,Arizona,AZ,32.918521,-111.366339,34,18.85758842,7.7,256746,299353,9171,187480,104232,25869,77.83668798,13
4023,Santa Cruz,Arizona,AZ,31.525733,-110.845228,30,15.65558251,6.7,22445,29302,1673,19636,85592,18208,85.03608943,9
4025,Yavapai,Arizona,AZ,34.631071,-112.577225,24,17.944418,7,159532,175215,4742,106880,97703,23499,76.13078766,11
4027,Yuma,Arizona,AZ,32.773942,-113.910905,38,16.66943536,6.3,97072,132516,16387,99824,88818,20160,81.7307446,12
5001,Arkansas,Arkansas,AR,34.28957,-91.376547,35,24.55451988,5.4,10424,12423,286,9427,88982,15200,85.12886598,19
5003,Ashley,Arkansas,AR,33.190835,-91.772267,42,25.5648805,5.9,11495,13802,418,7751,88804,16507,83.34202974,14
5005,Baxter,Arkansas,AR,36.280268,-92.329949,31,23.86887862,7.2,28194,31775,650,16296,78496,21357,84.07320626,16
5007,Benton,Arkansas,AR,36.337819,-94.256298,31,18.59001998,8.1,154050,173907,3601,137211,129246,31060,84.87746145,10
5009,Boone,Arkansas,AR,36.304299,-93.079236,29,24.5321962,6.8,22712,25983,511,16036,85677,21997,82.71714358,11
5011,Bradley,Arkansas,AR,33.466549,-92.169156,31,24.79037328,6.5,6094,7520,185,4483,85500,17308,80.6010929,18
5013,Calhoun,Arkansas,AR,33.56046,-92.513879,26,25.70690389,4.6,3131,3717,108,2453,90089,17800,84.0552118,10
5015,Carroll,Arkansas,AR,36.33737,-93.540972,30,22.2704269,7.6,17128,19852,400,12783,86349,19770,80.78126321,9
5017,Chicot,Arkansas,AR,33.267139,-91.297158,41,26.46697012,3.1,6010,7441,228,3285,73438,12162,78.39731871,9
5019,Clark,Arkansas,AR,34.053316,-93.176208,26,21.12483512,5.5,11848,13171,368,9691,84870,18430,77.93090248,15
5021,Clay,Arkansas,AR,36.367302,-90.418704,37,27.64641688,6.5,8680,10525,278,5691,73131,13947,81.96721312,10
5023,Cleburne,Arkansas,AR,35.566315,-92.05995,34,24.61708309,7.3,16066,18693,418,9226,84427,21850,81.02727454,13
5025,Cleveland,Arkansas,AR,33.893201,-92.188714,38,25.18940752,6.9,5105,5699,127,3219,93726,19844,88.50536193,16
5027,Columbia,Arkansas,AR,33.223038,-93.232843,44,25.22028024,6.3,12590,14661,410,9140,80126,14071,84.87423521,19
5029,Conway,Arkansas,AR,35.265702,-92.689248,40,24.57096304,6.6,12610,14486,359,8285,85789,18312,80.65713964,17
5031,Craighead,Arkansas,AR,35.827729,-90.631421,39,22.37882062,6.7,61602,68964,1555,55652,96554,20441,83.67670039,14
5033,Crawford,Arkansas,AR,35.583011,-94.236219,39,23.55716157,7,35909,42256,894,26922,90203,21281,86.49385561,14
5035,Crittenden,Arkansas,AR,35.197559,-90.30512,37,24.08845284,6.6,25582,30967,910,21422,87108,18040,81.65668859,17
5037,Cross,Arkansas,AR,35.285692,-90.763984,42,25.77294884,6.8,9630,11513,314,7411,90930,20559,82.27327048,19
5039,Dallas,Arkansas,AR,33.967823,-92.653999,40,24.70651664,5.7,4319,5145,134,2840,70960,14557,83.87538514,17
5041,Desha,Arkansas,AR,33.828752,-91.244103,48,27.87351565,4.7,6344,7826,241,5402,66820,14476,86.18857902,10
5043,Drew,Arkansas,AR,33.587242,-91.722778,35,24.27237401,6.3,10135,11661,408,7864,96306,15736,82.89896007,18
5045,Faulkner,Arkansas,AR,35.146548,-92.336928,37,20.98739525,7.2,69673,75869,1875,62431,105604,21322,84.39499257,10
5047,Franklin,Arkansas,AR,35.508558,-93.887665,42,26.5875286,6.8,10061,12017,252,7494,82008,14504,82.53341434,14
5049,Fulton,Arkansas,AR,36.381322,-91.819285,32,28.17232414,5.8,7576,8851,199,4962,71036,16216,82.10241261,13
5051,Garland,Arkansas,AR,34.578852,-93.146932,29,22.68978571,6.4,63688,71467,1537,41346,88905,18932,81.64753143,16
5053,Grant,Arkansas,AR,34.285568,-92.422979,34,22.58860308,7.4,11550,12720,267,8403,110200,21578,85.71615435,17
5055,Greene,Arkansas,AR,36.120607,-90.566346,38,24.81396893,6.6,26538,30074,699,20065,91189,21079,83.43653251,15
5057,Hempstead,Arkansas,AR,33.735953,-93.664355,32,25.19582166,5.9,11838,14329,380,9951,85191,20651,83.11558902,21
5059,Hot Spring,Arkansas,AR,34.315177,-92.944147,35,24.90064033,6.7,20851,24293,510,14019,85199,19422,83.23962104,16
5061,Howard,Arkansas,AR,34.083064,-93.990931,43,25.16570567,5.7,7484,8781,186,5711,82464,16591,83.16076294,10
5063,Independence,Arkansas,AR,35.737499,-91.559942,30,24.55823282,6.8,21610,25122,659,16527,82876,19944,82.1089519,11
5065,Izard,Arkansas,AR,36.094879,-91.913625,32,24.88799184,7.2,8542,10195,269,4912,81345,20052,75.98627787,16
5067,Jackson,Arkansas,AR,35.596467,-91.223205,39,27.96395823,5.8,9786,12207,380,5840,73660,15583,79.52354974,29
5069,Jefferson,Arkansas,AR,34.277239,-91.929673,43,24.82536147,6.2,40405,46904,1520,27740,80795,15669,86.76046457,15
5071,Johnson,Arkansas,AR,35.573359,-93.466322,40,25.50394113,6.9,13743,17421,469,10278,74450,16890,78.89676605,13
5073,Lafayette,Arkansas,AR,33.240629,-93.611514,46,25.12357141,6.1,3908,4903,115,2466,79685,12995,81.34757601,19
5075,Lawrence,Arkansas,AR,36.041098,-91.101153,38,26.23568063,5.8,9447,11229,284,6817,76509,18478,85.41344069,12
5077,Lee,Arkansas,AR,34.779505,-90.779717,41,28.8983718,4,5122,6754,127,2833,78271,11443,78.31632653,14
5079,Lincoln,Arkansas,AR,33.956385,-91.742355,45,26.90250101,5.7,8363,10314,173,3950,84114,17221,86.08779858,15
5081,Little River,Arkansas,AR,33.701941,-94.236287,34,24.30533421,6.8,7734,8694,238,5518,89676,17914,87.30624215,21
5083,Logan,Arkansas,AR,35.218654,-93.72091,30,25.69848027,6.8,13201,15309,373,8583,74887,19630,80.64334721,15
5085,Lonoke,Arkansas,AR,34.755114,-91.894132,41,21.98499817,7.5,43008,48254,1109,34468,107391,25281,86.55220871,14
5087,Madison,Arkansas,AR,36.012545,-93.724053,31,25.76937161,6.6,9015,11179,189,7427,87420,17987,83.58254972,12
5089,Marion,Arkansas,AR,36.266664,-92.678577,27,26.17196899,6.6,10900,12600,267,6673,69860,15405,78.51166103,14
5091,Miller,Arkansas,AR,33.305505,-93.901502,39,25.09874821,5.8,25643,29661,809,19750,93598,17294,85.46501682,13
5093,Mississippi,Arkansas,AR,35.766944,-90.052207,43,27.03544525,5.9,22114,27251,891,17358,85976,17044,82.6809299,18
5095,Monroe,Arkansas,AR,34.679512,-91.20331,44,28.2298556,5.9,3968,5032,119,2761,80836,13565,78.2472067,19
5097,Montgomery,Arkansas,AR,34.545656,-93.664153,24,26.60667531,6.1,5336,6687,138,2970,71400,16546,80.91795033,10
5099,Nevada,Arkansas,AR,33.666699,-93.305072,43,25.45993399,5.4,5283,5845,145,3662,67534,15438,83.99361022,15
5101,Newton,Arkansas,AR,35.910742,-93.215898,40,25.25940361,5.8,4952,5726,117,3335,75146,14118,81.9781767,13
5103,Ouachita,Arkansas,AR,33.591168,-92.878413,41,25.18220869,5.7,14094,16380,508,9838,76797,14908,88.40363054,19
5105,Perry,Arkansas,AR,34.946363,-92.926877,36,25.00290373,6.8,6153,7252,175,4275,96029,22993,81.86709712,12
5107,Phillips,Arkansas,AR,34.423687,-90.855593,45,27.08667665,3,9632,11999,383,6379,73141,12143,83.16617806,21
5109,Pike,Arkansas,AR,34.158191,-93.658659,29,24.98214878,6.3,6576,7525,164,4250,82078,19672,79.71109652,17
5111,Poinsett,Arkansas,AR,35.56887,-90.681104,41,27.58857309,5.3,13088,16292,350,10279,73400,17580,82.39143985,21
5113,Polk,Arkansas,AR,34.490915,-94.230884,36,25.15533194,5.1,11934,14053,339,8121,72557,16276,76.92307692,14
5115,Pope,Arkansas,AR,35.456557,-93.026818,35,23.4720615,7,34215,40501,1251,28869,92558,18660,84.01598782,15
5117,Prairie,Arkansas,AR,34.831116,-91.55362,36,24.91368306,5.7,4974,5978,156,3586,84162,18462,74.84444444,13
5119,Pulaski,Arkansas,AR,34.770311,-92.312996,34,18.71228315,6.6,241026,266765,6472,190248,109250,21899,82.79817883,12
5121,Randolph,Arkansas,AR,36.341298,-91.028441,33,27.33538318,6,10139,12232,284,7301,72934,17828,81.80347161,17
5123,St. Francis,Arkansas,AR,35.022838,-90.751506,48,27.33915447,5.2,14675,17914,425,8197,70886,12526,82.56257449,15
5125,Saline,Arkansas,AR,34.648525,-92.674463,30,20.48398388,7.7,74944,82700,1664,59114,115120,30938,85.11406245,11
5127,Scott,Arkansas,AR,34.858869,-94.063641,38,27.95726402,6.5,5539,6999,147,4314,66345,14564,77.7442371,17
5129,Searcy,Arkansas,AR,35.896387,-92.695888,25,27.55754529,5.6,4736,5793,133,2914,68660,15971,72.75439178,18
5131,Sebastian,Arkansas,AR,35.196981,-94.274989,35,23.87387095,7,71458,85006,1864,56698,89992,20401,81.92248943,15
5133,Sevier,Arkansas,AR,33.994877,-94.243279,33,24.64915899,6.7,8176,10686,265,5513,90629,19641,71.4146069,15
5135,Sharp,Arkansas,AR,36.173399,-91.471069,41,28.539328,6,10354,12406,285,5742,66689,15742,78.56289469,21
5137,Stone,Arkansas,AR,35.857001,-92.140482,41,27.63147879,5.7,7481,9218,223,4726,73965,14845,79.07186303,14
5139,Union,Arkansas,AR,33.168219,-92.598145,35,22.53430585,6.1,22734,26763,829,15847,95896,16981,89.50849436,13
5141,Van Buren,Arkansas,AR,35.582953,-92.515976,37,25.76817662,6.6,10415,12235,286,5741,79506,16849,81.47751606,16
5143,Washington,Arkansas,AR,35.978001,-94.217269,32,20.9513509,7.6,119852,141000,3053,124967,103276,21998,78.57487285,10
5145,White,Arkansas,AR,35.255118,-91.753034,33,24.02774104,7.1,43133,51108,1519,33800,91203,19129,82.81629602,17
5147,Woodruff,Arkansas,AR,35.192777,-91.244535,33,26.68632976,6.3,3809,4662,146,2773,83273,12857,81.63884674,27
5149,Yell,Arkansas,AR,34.997713,-93.408303,37,25.00299318,7.1,11337,14497,336,8417,85538,20955,78.27344532,14
6001,Alameda,California,CA,37.647139,-121.912488,22,11.11511431,8.9,1037138,1172662,24671,844346,196571,38001,60.92727852,7
6003,Alpine,California,CA,38.621783,-119.798352,17,18.47694078,6.8,702,770,28,551,127917,30242,61.81818182,7
6005,Amador,California,CA,38.443549,-120.653858,30,15.89845523,8.3,27271,30295,572,14900,116042,26361,78.76665914,17
6007,Butte,California,CA,39.665336,-121.603209,30,16.64906956,7.4,131645,147509,5080,99242,110060,20269,75.92053691,10
6009,Calaveras,California,CA,38.191068,-120.554107,28,15.59175944,8.2,31424,34848,812,21428,120885,28830,76.77342823,11
6011,Colusa,California,CA,39.177739,-122.237563,39,15.59040772,7.8,9745,13677,1407,10993,104097,24039,78.66722991,16
6013,Contra Costa,California,CA,37.919479,-121.951543,25,11.21125472,8.9,704257,787178,17261,561757,196326,41345,67.5024248,9
6015,Del Norte,California,CA,41.749903,-123.980998,34,19.1924356,6.3,15726,19644,555,9674,93442,18552,75.27721204,17
6017,El Dorado,California,CA,38.785612,-120.534225,26,13.46793746,8.5,127999,137028,3237,92022,161711,33761,76.92574975,8
6019,Fresno,California,CA,36.761006,-119.655019,33,15.73731263,7.4,458905,604137,32668,450760,110629,21710,78.51317575,10
6021,Glenn,California,CA,39.602546,-122.4017,34,17.10568519,7.7,13433,17951,796,12997,96257,19138,78.96125159,11
6023,Humboldt,California,CA,40.706655,-123.926176,25,17.08981783,7.5,83652,92463,2253,62507,98646,19669,71.3387151,10
6025,Imperial,California,CA,33.040814,-115.3554,33,15.68441039,6.2,76789,110125,13080,71411,100019,16740,80.78122104,9
6027,Inyo,California,CA,36.56216,-117.404209,27,15.31573912,7.7,11696,13204,310,8760,107279,27552,67.70147771,12
6029,Kern,California,CA,35.346629,-118.729506,31,16.68679884,7.5,398483,537799,30216,390999,109496,22297,80.53597994,10
6031,Kings,California,CA,36.072478,-119.81553,34,16.88703305,7.5,68158,92916,4566,57788,106045,25833,77.00311625,13
6033,Lake,California,CA,39.094802,-122.746757,22,18.2953587,6.9,39822,46426,1471,29158,96832,19690,68.84583996,11
6035,Lassen,California,CA,40.715287,-120.621223,33,18.46842609,7.7,18808,22615,453,9869,108421,24975,80.49160672,15
6037,Los Angeles,California,CA,34.196398,-118.261862,22,12.67333179,8.4,5449836,6886895,227288,5121584,141150,26411,74.0006044,9
6039,Madera,California,CA,37.209821,-119.749802,37,16.68531406,7.4,70154,97527,4294,61945,111480,25665,76.58439809,12
6041,Marin,California,CA,38.051367,-122.746396,18,9.895346526,9.2,177644,190403,3193,139979,247932,42948,64.08813914,8
6043,Mariposa,California,CA,37.574343,-119.911721,16,16.18014689,7.6,12349,13632,350,7612,94000,20707,60.84008843,8
6045,Mendocino,California,CA,39.432388,-123.442881,30,16.70605829,7.6,53659,62005,1546,38934,101775,21346,72.56214674,11
6047,Merced,California,CA,37.194806,-120.722802,33,16.40976835,7.2,110866,160388,9360,116226,103931,22988,79.08518757,13
6049,Modoc,California,CA,41.592918,-120.71837,26,18.89662932,6.9,5715,6740,224,3171,82839,20207,73.1256419,12
6051,Mono,California,CA,37.915836,-118.875167,29,13.94771785,7.8,8792,9927,313,8508,108900,37638,50.36135871,11
6053,Monterey,California,CA,36.240104,-121.315578,25,13.75101207,8.4,197149,275668,13799,222516,136456,32439,71.64721497,9
6055,Napa,California,CA,38.5071,-122.325904,24,12.30532666,9.1,83996,98223,2104,74004,173367,39526,75.75175482,10
6057,Nevada,California,CA,39.297508,-120.771343,18,13.92231179,8.1,71714,76000,1617,48639,133318,27873,72.69210152,6
6059,Orange,California,CA,33.675687,-117.777207,20,10.8726147,9.1,1853379,2168424,45087,1623421,175699,37557,78.31920443,9
6061,Placer,California,CA,39.062032,-120.722718,20,11.7148613,8.9,255620,270397,5839,187932,166488,36560,79.4516652,7
6063,Plumas,California,CA,39.992295,-120.824371,24,15.72172582,7.9,13770,14479,607,7903,108400,24251,77.23446894,7
6065,Riverside,California,CA,33.729828,-116.002239,28,13.62425229,8.2,1279733,1559869,46151,1104035,130021,27335,78.34960722,10
6067,Sacramento,California,CA,38.450136,-121.344329,30,14.04300188,8.1,902315,1028580,26096,712394,131065,27600,77.14377653,9
6069,San Benito,California,CA,36.611651,-121.085811,36,13.12595378,9.1,31342,38958,1587,31432,152368,40157,80.81829715,10
6071,San Bernardino,California,CA,34.856661,-116.181571,31,14.98977766,8,1080379,1350620,37010,967719,120734,26740,79.59492725,10
6073,San Diego,California,CA,33.023604,-116.776117,20,13.15158062,8.6,1964540,2246571,50643,1590591,153988,32742,76.19007535,8
6075,San Francisco,California,CA,37.727239,-123.032229,17,11.37516455,8.8,615126,695330,12774,583186,239839,33838,32.09198857,6
6077,San Joaquin,California,CA,37.934982,-121.272244,36,14.91008005,7.9,370612,467455,19223,327077,127725,26917,78.75024328,10
6079,San Luis Obispo,California,CA,35.388189,-120.448897,29,13.64797462,8.6,172343,188857,4017,140931,143093,30777,72.95463239,9
6081,San Mateo,California,CA,37.414672,-122.371546,23,10.15945224,9.4,493904,551290,9397,460044,248728,49959,67.79857582,8
6083,Santa Barbara,California,CA,34.536677,-120.038364,24,13.42077807,8.7,222673,275092,8039,217882,150975,32291,67.95613855,8
6085,Santa Clara,California,CA,37.221614,-121.68954,20,9.577855426,9.3,1179755,1334958,26196,1053723,241085,48516,74.70628937,9
6087,Santa Cruz,California,CA,37.012347,-122.007789,19,12.78727579,8.4,155407,180000,6747,142277,173757,31221,69.04477095,6
6089,Shasta,California,CA,40.760514,-122.043556,27,17.10733117,7.2,115249,126524,3475,74353,108446,22168,81.47682183,12
6091,Sierra,California,CA,39.576925,-120.521993,19,16.33135843,6.3,2235,2420,71,1326,116353,20145,71.9665272,7
6093,Siskiyou,California,CA,41.587986,-122.533287,35,17.60059328,6.7,28587,31682,1118,17227,91754,20032,75.38919556,10
6095,Solano,California,CA,38.267226,-121.939594,29,13.83229544,8.5,268560,303699,7855,209527,147777,36257,76.51190772,9
6097,Sonoma,California,CA,38.525182,-122.92611,24,12.89220368,8.7,319034,359314,6966,259394,153930,35722,74.57398313,8
6099,Stanislaus,California,CA,37.562316,-121.002831,32,15.84953133,7.9,271135,343626,14701,243454,116540,26490,81.76743344,10
6101,Sutter,California,CA,39.03619,-121.70394,30,16.05174092,7.1,48953,62626,3345,45785,116410,25718,78.91613104,13
6103,Tehama,California,CA,40.126157,-122.232274,35,18.23412334,6.8,37070,43850,1422,25650,91412,19202,81.09796734,11
6105,Trinity,California,CA,40.647858,-123.114666,29,18.972403,7,9095,9847,257,4693,80029,17668,67.51233263,10
6107,Tulare,California,CA,36.228834,-118.781055,37,17.52876204,7,192226,271351,19627,203980,102769,20912,78.94724718,11
6109,Tuolumne,California,CA,38.021434,-119.964733,30,15.79038274,7.4,37475,41304,951,21317,118369,24156,82.92561407,8
6111,Ventura,California,CA,34.358748,-119.133145,20,12.33545573,8.9,484890,570146,15221,423390,165716,38748,78.69635354,9
